CMDLINE /home/lr-2002/anaconda3/envs/manigen/bin/python maniskill_startup.py
MEM 0.500000 1745329547.5424
MEM 38.953125 1745329547.6426
MEM 80.703125 1745329547.7429
MEM 192.203125 1745329547.8431
MEM 258.703125 1745329547.9433
MEM 298.453125 1745329548.0435
MEM 332.453125 1745329548.1438
MEM 354.355469 1745329548.2440
MEM 367.605469 1745329548.3443
MEM 379.105469 1745329548.4445
MEM 386.105469 1745329548.5448
MEM 398.355469 1745329548.6451
MEM 424.605469 1745329548.7453
MEM 433.355469 1745329548.8455
MEM 445.355469 1745329548.9457
MEM 445.355469 1745329549.0459
MEM 445.355469 1745329549.1461
MEM 445.355469 1745329549.2463
MEM 452.855469 1745329549.3465
MEM 473.730469 1745329549.4467
MEM 490.230469 1745329549.5470
MEM 502.230469 1745329549.6473
MEM 515.730469 1745329549.7475
MEM 525.480469 1745329549.8478
MEM 560.230469 1745329549.9481
MEM 569.480469 1745329550.0483
MEM 679.230469 1745329550.1485
MEM 679.230469 1745329550.2488
MEM 685.480469 1745329550.3491
MEM 686.730469 1745329550.4494
MEM 687.230469 1745329550.5496
MEM 696.230469 1745329550.6498
MEM 713.730469 1745329550.7502
MEM 735.230469 1745329550.8505
MEM 755.230469 1745329550.9507
MEM 764.980469 1745329551.0510
MEM 787.730469 1745329551.1514
MEM 797.480469 1745329551.2516
MEM 803.980469 1745329551.3518
MEM 834.160156 1745329551.4521
MEM 826.691406 1745329551.5524
MEM 842.191406 1745329551.6526
MEM 884.792969 1745329551.7529
MEM 893.042969 1745329551.8531
MEM 1059.203125 1745329551.9534
MEM 1173.953125 1745329552.0537
MEM 1334.453125 1745329552.1539
MEM 1368.894531 1745329552.2542
MEM 1443.144531 1745329552.3545
MEM 2110.636719 1745329552.4548
MEM 2087.398438 1745329552.5550
MEM 2139.648438 1745329552.6552
MEM 2220.148438 1745329552.7555
MEM 2311.859375 1745329552.8557
MEM 2313.609375 1745329552.9559
MEM 2390.128906 1745329553.0562
MEM 2448.503906 1745329553.1565
MEM 2486.753906 1745329553.2567
MEM 2487.003906 1745329553.3570
MEM 2487.753906 1745329553.4573
MEM 2488.253906 1745329553.5575
MEM 2506.707031 1745329553.6578
MEM 2547.957031 1745329553.7580
MEM 2488.835938 1745329553.8582
MEM 2494.085938 1745329553.9585
MEM 2505.085938 1745329554.0587
MEM 2505.335938 1745329554.1590
MEM 2570.109375 1745329554.2593
MEM 2614.378906 1745329554.3595
MEM 2641.878906 1745329554.4598
MEM 2597.128906 1745329554.5601
MEM 2604.882812 1745329554.6604
MEM 2620.132812 1745329554.7606
MEM 2622.882812 1745329554.8608
MEM 2649.863281 1745329554.9611
MEM 2649.863281 1745329555.0613
MEM 2649.863281 1745329555.1616
MEM 2649.863281 1745329555.2618
MEM 2650.113281 1745329555.3621
MEM 2650.113281 1745329555.4623
MEM 2650.113281 1745329555.5626
MEM 2650.113281 1745329555.6628
MEM 2650.113281 1745329555.7631
MEM 2650.363281 1745329555.8634
MEM 2650.613281 1745329555.9636
MEM 2650.613281 1745329556.0639
MEM 2650.613281 1745329556.1641
MEM 2650.613281 1745329556.2644
MEM 2650.613281 1745329556.3646
MEM 2650.613281 1745329556.4648
MEM 2650.863281 1745329556.5650
MEM 2625.910156 1745329556.6653
MEM 2650.277344 1745329556.7656
MEM 2656.277344 1745329556.8658
MEM 2657.777344 1745329556.9661
MEM 2680.617188 1745329557.0664
MEM 2704.437500 1745329557.1668
MEM 2648.210938 1745329557.2671
MEM 3555.601562 1745329557.3674
MEM 4483.601562 1745329557.4677
MEM 5413.601562 1745329557.5681
MEM 6325.601562 1745329557.6684
MEM 7183.601562 1745329557.7687
MEM 8006.382812 1745329557.8691
MEM 8520.382812 1745329557.9694
MEM 8625.882812 1745329558.0697
MEM 8756.382812 1745329558.1700
MEM 8800.382812 1745329558.2702
MEM 8844.382812 1745329558.3705
MEM 8908.882812 1745329558.4708
MEM 8945.882812 1745329558.5711
MEM 9020.382812 1745329558.6714
MEM 9064.382812 1745329558.7716
MEM 9122.132812 1745329558.8720
MEM 9196.382812 1745329558.9723
MEM 9240.382812 1745329559.0726
MEM 9295.132812 1745329559.1728
MEM 9372.382812 1745329559.2731
MEM 9416.382812 1745329559.3734
MEM 9460.382812 1745329559.4737
MEM 9536.882812 1745329559.5740
MEM 9592.382812 1745329559.6742
MEM 9636.382812 1745329559.7745
MEM 9696.132812 1745329559.8748
MEM 9768.382812 1745329559.9752
MEM 9812.382812 1745329560.0754
MEM 9896.132812 1745329560.1757
MEM 9944.382812 1745329560.2760
MEM 9988.382812 1745329560.3763
MEM 10076.382812 1745329560.4765
MEM 10120.382812 1745329560.5768
MEM 10184.882812 1745329560.6771
MEM 10252.382812 1745329560.7774
MEM 10296.382812 1745329560.8777
MEM 10355.132812 1745329560.9779
MEM 10428.382812 1745329561.0782
MEM 10472.382812 1745329561.1785
MEM 10560.382812 1745329561.2788
MEM 10604.382812 1745329561.3791
MEM 10678.632812 1745329561.4794
MEM 10736.382812 1745329561.5796
MEM 10780.382812 1745329561.6799
MEM 10868.382812 1745329561.7802
MEM 10912.382812 1745329561.8804
MEM 11000.382812 1745329561.9806
MEM 11044.382812 1745329562.0809
MEM 11120.132812 1745329562.1812
MEM 11176.382812 1745329562.2815
MEM 11220.382812 1745329562.3818
MEM 11308.382812 1745329562.4820
MEM 11352.382812 1745329562.5823
MEM 11440.382812 1745329562.6826
MEM 11484.382812 1745329562.7829
MEM 11528.382812 1745329562.8832
MEM 11616.382812 1745329562.9835
MEM 11660.382812 1745329563.0838
MEM 11748.382812 1745329563.1841
MEM 11836.382812 1745329563.2844
MEM 11880.382812 1745329563.3847
MEM 11924.382812 1745329563.4850
MEM 12012.382812 1745329563.5853
MEM 12056.382812 1745329563.6856
MEM 12144.382812 1745329563.7858
MEM 12188.382812 1745329563.8861
MEM 12243.882812 1745329563.9864
MEM 12320.382812 1745329564.0867
MEM 12364.382812 1745329564.1869
MEM 12447.382812 1745329564.2872
MEM 12496.382812 1745329564.3875
MEM 12540.382812 1745329564.4878
MEM 12628.382812 1745329564.5880
MEM 12672.382812 1745329564.6883
MEM 12726.132812 1745329564.7886
MEM 12775.132812 1745329564.8888
MEM 12830.882812 1745329564.9890
MEM 12871.132812 1745329565.0892
MEM 12911.632812 1745329565.1895
MEM 12954.132812 1745329565.2898
MEM 12954.132812 1745329565.3900
MEM 12954.132812 1745329565.4902
MEM 12954.132812 1745329565.5903
MEM 12954.132812 1745329565.6905
MEM 12954.132812 1745329565.7908
MEM 12978.382812 1745329565.8910
MEM 12991.882812 1745329565.9913
MEM 13027.882812 1745329566.0915
MEM 13069.382812 1745329566.1918
MEM 13087.132812 1745329566.2921
MEM 13115.882812 1745329566.3924
MEM 13157.132812 1745329566.4926
MEM 13177.382812 1745329566.5928
MEM 12954.378906 1745329566.6931
MEM 12993.128906 1745329566.7934
MEM 13042.378906 1745329566.8937
MEM 13085.878906 1745329566.9938
MEM 13130.378906 1745329567.0941
MEM 13170.378906 1745329567.1944
